Q,pct,t,rmse,mae,max_abs
-30000.0,-25.0,0.75,0.1119620947357429,0.06600256207858615,6.5535822753906245
-30000.0,-25.0,1.0,0.1150451658661016,0.07612770108574762,6.4572382812499995
-30000.0,-25.0,2.0,0.23007473213948065,0.17824779820271808,7.100877160644529
-30000.0,-25.0,3.0,0.24865946164732025,0.19658716963392467,7.160271411132811
-30000.0,-25.0,4.0,0.2387367743768125,0.19102277213134763,7.155956188964851
-30000.0,-25.0,5.0,0.2136442099959112,0.17066068088012695,7.122552221679683
-30000.0,-25.0,6.0,0.18213622675128022,0.14203087738335507,7.077091687011716
-30000.0,-25.0,7.0,0.14996137575563534,0.1097046445476617,7.028008398437507
-30000.0,-25.0,8.0,0.12124961188409018,0.07701053734741212,6.979993115234379
-30000.0,-25.0,9.0,0.09945677001119621,0.04881598666924372,6.935413977050786
-30000.0,-25.0,10.0,0.08736318169487432,0.03162031508748371,6.895454650878904
-30000.0,-25.0,11.0,0.08543012142208366,0.02907420933186848,6.8608075195312495
-30000.0,-25.0,12.0,0.0907139145237542,0.04316484078938803,6.831882946777341
-30000.0,-25.0,13.0,0.09906930544655258,0.060094155074462856,6.808871948242185
-30000.0,-25.0,14.0,0.10744722531741685,0.07345782148125543,6.791647827148438
-30000.0,-25.0,15.0,0.11416372558382047,0.08296623589965821,6.780228027343753
-30000.0,-25.0,16.0,0.11841976717966385,0.0886291147555881,6.774136804199216
-30000.0,-25.0,17.0,0.11993730432433673,0.09062755446302623,6.77309759521485
-30000.0,-25.0,18.0,0.11875167165857996,0.08921181035983614,6.776556726074219
-30000.0,-25.0,19.0,0.11511145980678351,0.08466981786607532,6.783813928222656
-30000.0,-25.0,20.0,0.10944059456016496,0.07730988255425351,6.7944765624999945
-30000.0,-25.0,21.0,0.10235516464151757,0.0674624887661404,6.807590136718744
-30000.0,-25.0,22.0,0.09471137550665232,0.05549188573649091,6.822623046874995
-30000.0,-25.0,23.0,0.08772298590988072,0.04195700302259659,6.838858947753906
-30000.0,-25.0,24.0,0.08302673535508187,0.028778344003228075,6.855642529296873
-30000.0,-25.0,25.0,0.08250396332795455,0.024577544199083118,6.872248999023441
-30000.0,-25.0,26.0,0.08763122011560813,0.029806507658691417,6.888022229003909
-30000.0,-25.0,27.0,0.09879650714053072,0.044379886462402346,6.902459497070311
-30000.0,-25.0,28.0,0.11539422343252724,0.06393548285115559,6.915126745605463
-30000.0,-25.0,29.0,0.13649970498811811,0.08530577513264974,6.9254662109375005
-30000.0,-25.0,30.0,0.16128269823185898,0.10780526553941515,6.932996423339844
-35000.0,-12.5,0.25,0.23353034348620394,0.14959743809041381,6.945388952636719
-35000.0,-12.5,0.5,0.14705105366517285,0.09672374505303281,7.46014692382812
-35000.0,-12.5,0.75,0.10648655468899716,0.05456648204467773,7.754970825195315
-35000.0,-12.5,1.0,0.12434628491901284,0.07778134372626408,7.650005615234377
-35000.0,-12.5,2.0,0.25568049924827974,0.18603266516004774,8.450116320800788
-35000.0,-12.5,3.0,0.2888410664956954,0.21802268723185225,8.541592761230476
-35000.0,-12.5,4.0,0.284480796879608,0.2194752078894043,8.549019396972653
-35000.0,-12.5,5.0,0.25924232394541313,0.2013732055052355,8.516644738769529
-35000.0,-12.5,6.0,0.22410465247245573,0.17173756915106883,8.46680041503906
-35000.0,-12.5,7.0,0.18631954308411283,0.13624347177259657,8.410966015624993
-35000.0,-12.5,8.0,0.15102299075395847,0.09880791717963328,8.35508979492188
-35000.0,-12.5,9.0,0.12248695553776111,0.062257021089274084,8.302252429199214
-35000.0,-12.5,10.0,0.10461735552927802,0.03166007306057402,8.25426538085938
-35000.0,-12.5,11.0,0.09945942882696703,0.026418859484049456,8.211886157226559
-35000.0,-12.5,12.0,0.10476356483983033,0.045120807177327485,8.175904687499994
-35000.0,-12.5,13.0,0.11547718530819592,0.06659423796373155,8.146452587890622
-35000.0,-12.5,14.0,0.12728210452172595,0.08426436893093532,8.123658203125004
-35000.0,-12.5,15.0,0.13762523873494223,0.0975574448305935,8.107386389160155
-35000.0,-12.5,16.0,0.14522344322240344,0.10644214104546441,8.097546960449222
-35000.0,-12.5,17.0,0.14950766361223317,0.11102202767333985,8.093556542968756
-35000.0,-12.5,18.0,0.15034218143567557,0.11150286867024738,8.095085168457032
-35000.0,-12.5,19.0,0.14786359477728978,0.10815029614705404,8.101333386230465
-35000.0,-12.5,20.0,0.14241056997010879,0.10127324494656034,8.111755151367191
